ID,Name,Age,Region,Games,Medals
523,Trond Sevg Abrahamsen,23.0,挪威,1984冬奥会,{'NAN'}
526,Kurt Christer Abrahamsson (-Abris),24.0,瑞典,1972冬奥会,{'NAN'}
529,Karl Gustaf Emanuel Abrahamsson,31.0,瑞典,1928冬奥会,{'银牌'}
530,Ulf Thommy Abrahamsson,24.0,瑞典,1972冬奥会,{'NAN'}
532,Iason Abramashvili,17.0,乔治亚州,2006冬奥会,{'NAN'}
532,Iason Abramashvili,21.0,乔治亚州,2010冬奥会,{'NAN'}
532,Iason Abramashvili,25.0,乔治亚州,2014冬奥会,{'NAN'}
534,Oleksandr Volodymyrovych Abramenko,17.0,乌克兰,2006冬奥会,{'NAN'}
534,Oleksandr Volodymyrovych Abramenko,21.0,乌克兰,2010冬奥会,{'NAN'}
534,Oleksandr Volodymyrovych Abramenko,25.0,乌克兰,2014冬奥会,{'NAN'}
535,Yevgeny Sergeyevich Abramenko,22.0,白俄罗斯,2010冬奥会,{'NAN'}
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,2014冬奥会,{'NAN'}
539,Levan Abramishvili,23.0,乔治亚州,1994冬奥会,{'NAN'}
539,Levan Abramishvili,27.0,乔治亚州,1998冬奥会,{'NAN'}
544,Sergey Mikhaylovich Abramov,34.0,俄罗斯,1994冬奥会,{'NAN'}
548,Yekaterina Konstantinovna Abramova,23.0,俄罗斯,2006冬奥会,"{'NAN', '铜牌'}"
548,Yekaterina Konstantinovna Abramova,27.0,俄罗斯,2010冬奥会,{'NAN'}
549,Alen Abramovi,29.0,克罗地亚,2006冬奥会,{'NAN'}
550,Dmitry Vladimirovich Abramovich,27.0,俄罗斯,2010冬奥会,{'NAN'}
559,Tsvetelina Abrasheva,16.0,保加利亚,1994冬奥会,{'NAN'}
561,Thomas Abratis,26.0,德国,1994冬奥会,{'NAN'}
562,Pawe Abratkiewicz,21.0,波兰,1992冬奥会,{'NAN'}
562,Pawe Abratkiewicz,27.0,波兰,1998冬奥会,{'NAN'}
562,Pawe Abratkiewicz,31.0,波兰,2002冬奥会,{'NAN'}
586,Tobias Abstreiter,31.0,德国,2002冬奥会,{'NAN'}
588,"Aleksandr Viktorovich ""Sasha"" Abt",25.0,俄罗斯,2002冬奥会,{'NAN'}
633,Martina Accola,24.0,瑞士,1994冬奥会,{'NAN'}
633,Martina Accola,28.0,瑞士,1998冬奥会,{'NAN'}
634,Paul Accola,20.0,瑞士,1988冬奥会,"{'NAN', '铜牌'}"
634,Paul Accola,24.0,瑞士,1992冬奥会,{'NAN'}
634,Paul Accola,26.0,瑞士,1994冬奥会,{'NAN'}
634,Paul Accola,30.0,瑞士,1998冬奥会,{'NAN'}
634,Paul Accola,34.0,瑞士,2002冬奥会,{'NAN'}
665,Gilbert Achard-Picard,29.0,法国,1948冬奥会,{'NAN'}
671,Ghassan Achi,16.0,黎巴嫩,2010冬奥会,{'NAN'}
679,Ioan Valeriu Achiriloaie,23.0,罗马尼亚,2014冬奥会,{'NAN'}
680,Rita Nikolayevna Achkina,25.0,俄罗斯,1964冬奥会,{'NAN'}
680,Rita Nikolayevna Achkina,30.0,俄罗斯,1968冬奥会,"{'NAN', '铜牌'}"
702,Ronny Ackermann,20.0,德国,1998冬奥会,{'NAN'}
702,Ronny Ackermann,24.0,德国,2002冬奥会,"{'银牌', 'NAN'}"
702,Ronny Ackermann,28.0,德国,2006冬奥会,"{'银牌', 'NAN'}"
705,Donat Acklin,22.0,瑞士,1988冬奥会,{'NAN'}
705,Donat Acklin,26.0,瑞士,1992冬奥会,"{'金牌', '铜牌'}"
705,Donat Acklin,28.0,瑞士,1994冬奥会,"{'金牌', '银牌'}"
706,Guido Acklin,24.0,瑞士,1994冬奥会,{'银牌'}
706,Guido Acklin,28.0,瑞士,1998冬奥会,{'NAN'}
706,Guido Acklin,32.0,瑞士,2002冬奥会,{'NAN'}
735,"Benjamin Maxwell ""Ben"" Acton",32.0,澳大利亚,1960冬奥会,{'NAN'}
736,Brigitte Acton (-Smith),20.0,加拿大,2006冬奥会,{'NAN'}
736,Brigitte Acton (-Smith),24.0,加拿大,2010冬奥会,{'NAN'}
746,Goro Adachi,19.0,日本,1932冬奥会,{'NAN'}
746,Goro Adachi,23.0,日本,1936冬奥会,{'NAN'}
753,Yurie Adachi,28.0,日本,2014冬奥会,{'NAN'}
770,Marcus Adam,33.0,英国,2002冬奥会,{'NAN'}
772,"Michael B. ""Mike"" Adam",24.0,加拿大,2006冬奥会,{'金牌'}
792,Jina Adamikov-Pelcov,22.0,捷克共和国,1992冬奥会,{'NAN'}
792,Jina Adamikov-Pelcov,24.0,捷克共和国,1994冬奥会,{'NAN'}
792,Jina Adamikov-Pelcov,28.0,捷克共和国,1998冬奥会,{'NAN'}
794,Janusz Andrzej Adamiec,21.0,波兰,1984冬奥会,{'NAN'}
794,Janusz Andrzej Adamiec,25.0,波兰,1988冬奥会,{'NAN'}
794,Janusz Andrzej Adamiec,29.0,波兰,1992冬奥会,{'NAN'}
802,Tadeusz Ralf Adamowski,26.0,波兰,1928冬奥会,{'NAN'}
810,Bridget Shirley Adams (-Bengough),19.0,英国,1948冬奥会,{'NAN'}
840,"Victoria ""Vicki"" Adams",24.0,英国,2014冬奥会,{'铜牌'}
892,Peter Adeberg,19.0,德国,1988冬奥会,{'NAN'}
892,Peter Adeberg,23.0,德国,1992冬奥会,{'NAN'}
892,Peter Adeberg,25.0,德国,1994冬奥会,{'NAN'}
892,Peter Adeberg,29.0,德国,1998冬奥会,{'NAN'}
893,Ulrike Adeberg (-Spielmann),23.0,德国,1994冬奥会,{'NAN'}
904,Gun Margareta del (-Nilsson),25.0,瑞典,1964冬奥会,{'NAN'}
911,Antoine Adelisse,17.0,法国,2014冬奥会,{'NAN'}
938,Cary Glen Adgate,22.0,美国,1976冬奥会,{'NAN'}
938,Cary Glen Adgate,26.0,美国,1980冬奥会,{'NAN'}
956,"Richard ""Richy""  Adjei",27.0,德国,2010冬奥会,"{'银牌', 'NAN'}"
992,Josef Adolf,25.0,捷克共和国,1924冬奥会,{'NAN'}
993,Ruth Adolf,20.0,瑞士,1964冬奥会,{'NAN'}
995,Jan Erik Adolfsen,21.0,挪威,1952冬奥会,{'NAN'}
998,ke Ronnie Adolfsson,23.0,瑞典,1980冬奥会,{'NAN'}
998,ke Ronnie Adolfsson,27.0,瑞典,1984冬奥会,{'NAN'}
999,Sune Roland Adolfsson,25.0,瑞典,1976冬奥会,{'NAN'}
1026,Carlos Adsera Puig,21.0,西班牙,1968冬奥会,{'NAN'}
1034,Viktoriya Adyeva,20.0,哈萨克斯坦,2002冬奥会,{'NAN'}
1040,Urs Aeberhard,30.0,瑞士,2002冬奥会,{'NAN'}
1044,David Aebischer,24.0,瑞士,2002冬奥会,{'NAN'}
1044,David Aebischer,28.0,瑞士,2006冬奥会,{'NAN'}
1045,Christian Aebli,27.0,瑞士,2006冬奥会,{'NAN'}
1053,Luca Aerni,20.0,瑞士,2014冬奥会,{'NAN'}
1055,Katrien Aerts,37.0,比利时,2014冬奥会,{'NAN'}
1062,Jean-Jacques Aeschlimann,34.0,瑞士,2002冬奥会,{'NAN'}
1063,Peter Aeschlimann,25.0,瑞士,1972冬奥会,{'NAN'}
1077,Xavier Affentranger,26.0,瑞士,1924冬奥会,{'NAN'}
1081,Alessia Afi Dipol,18.0,多哥,2014冬奥会,{'NAN'}
1085,Maksim Sergeyevich Afinogenov,22.0,俄罗斯,2002冬奥会,{'铜牌'}
1085,Maksim Sergeyevich Afinogenov,26.0,俄罗斯,2006冬奥会,{'NAN'}
1085,Maksim Sergeyevich Afinogenov,30.0,俄罗斯,2010冬奥会,{'NAN'}
1106,Karim El-Husseini Aga Khan,27.0,伊朗,1964冬奥会,{'NAN'}
1111,Alisa Agafonova,23.0,土耳其,2014冬奥会,{'NAN'}
1115,Marina Aganina,20.0,乌兹别克斯坦,2006冬奥会,{'NAN'}
1119,Mark Sidney Andrew Agar,27.0,英国,1976冬奥会,{'NAN'}
1127,Giancarlo Agazzi,23.0,意大利,1956冬奥会,{'NAN'}
1127,Giancarlo Agazzi,31.0,意大利,1964冬奥会,{'NAN'}
1138,Iwao Ageishi,24.0,日本,1932冬奥会,{'NAN'}
1150,Sven Ingvar Agge,34.0,瑞典,1960冬奥会,{'NAN'}
1171,Benjamin Agnel,20.0,法国,1994冬奥会,{'NAN'}
1172,Marysette Agnel,25.0,法国,1952冬奥会,{'NAN'}
1172,Marysette Agnel,29.0,法国,1956冬奥会,{'NAN'}
1181,Meghan Christina Agosta (-Marciano),18.0,加拿大,2006冬奥会,{'金牌'}
1181,Meghan Christina Agosta (-Marciano),23.0,加拿大,2010冬奥会,{'金牌'}
1181,Meghan Christina Agosta (-Marciano),26.0,加拿大,2014冬奥会,{'金牌'}
1188,"Benjamin Alexandro ""Ben"" Agosto",24.0,美国,2006冬奥会,{'银牌'}
1188,"Benjamin Alexandro ""Ben"" Agosto",28.0,美国,2010冬奥会,{'NAN'}
1193,Hernn Marcelo Agote,26.0,阿根廷,1964冬奥会,{'NAN'}
1200,Debora Agreiter,22.0,意大利,2014冬奥会,{'NAN'}
1267,Errol Aguilera,23.0,特立尼达,2002冬奥会,{'NAN'}
1280,Facundo Aguirre,20.0,阿根廷,2006冬奥会,{'NAN'}
1291,Mason Singer Aguirre,18.0,美国,2006冬奥会,{'NAN'}
1322,Kevin Joseph Ahearn,23.0,美国,1972冬奥会,{'银牌'}
1325,"Patrick Lee ""Pat"" Ahern",23.0,美国,1984冬奥会,{'NAN'}
1336,Mats Bertil hlberg,24.0,瑞典,1972冬奥会,{'NAN'}
1336,Mats Bertil hlberg,32.0,瑞典,1980冬奥会,{'铜牌'}
1340,Annica Gunilla hln,23.0,瑞典,1998冬奥会,{'NAN'}
1340,Annica Gunilla hln,27.0,瑞典,2002冬奥会,{'铜牌'}
1341,Johan Petter hln (Andersson-),44.0,瑞典,1924冬奥会,{'银牌'}
1342,Thomas Valter hln,24.0,瑞典,1984冬奥会,{'铜牌'}
1358,Kerstin Lucia Ahlqvist (-Winnberg),24.0,瑞典,1952冬奥会,{'NAN'}
1422,Ahn Jin-Soo,18.0,韩国,1992冬奥会,{'NAN'}
1422,Ahn Jin-Soo,20.0,韩国,1994冬奥会,{'NAN'}
1422,Ahn Jin-Soo,24.0,韩国,1998冬奥会,{'NAN'}
1423,Manfred Ahne,22.0,德国,1984冬奥会,{'NAN'}
1432,Seppo Johannes Ahokainen,24.0,芬兰,1976冬奥会,{'NAN'}
1435,Janne Petteri Ahonen,16.0,芬兰,1994冬奥会,{'NAN'}
1435,Janne Petteri Ahonen,20.0,芬兰,1998冬奥会,{'NAN'}
1435,Janne Petteri Ahonen,24.0,芬兰,2002冬奥会,"{'银牌', 'NAN'}"
1435,Janne Petteri Ahonen,28.0,芬兰,2006冬奥会,"{'银牌', 'NAN'}"
1435,Janne Petteri Ahonen,32.0,芬兰,2010冬奥会,{'NAN'}
1435,Janne Petteri Ahonen,36.0,芬兰,2014冬奥会,{'NAN'}
1437,"Pirjo Hannele Ahonen (Nieminen-, Blomqvist-)",31.0,芬兰,2002冬奥会,{'NAN'}
1450,Gunnar Johan hs,36.0,瑞典,1952冬奥会,{'NAN'}
1450,Gunnar Johan hs,40.0,瑞典,1956冬奥会,{'NAN'}
1455,Neha Ahuja,24.0,印度,2006冬奥会,{'NAN'}
1469,Hans Aichele,24.0,瑞士,1936冬奥会,{'银牌'}
1486,Kerstin Monika ij (-Lenndin),24.0,瑞典,1988冬奥会,{'NAN'}
1495,Richard Aimonetto,25.0,法国,1998冬奥会,{'NAN'}
1495,Richard Aimonetto,29.0,法国,2002冬奥会,{'NAN'}
1496,Giacomo Aimoni,24.0,意大利,1964冬奥会,{'NAN'}
1496,Giacomo Aimoni,28.0,意大利,1968冬奥会,{'NAN'}
1501,Sarah Catherine Ainsworth,24.0,英国,2010冬奥会,{'NAN'}
1508,Enrico Airoldi,24.0,意大利,1948冬奥会,{'NAN'}
1509,Remo Airoldi,26.0,意大利,1948冬奥会,{'NAN'}
1524,Ahmed Ait Moulay,19.0,摩洛哥,1984冬奥会,{'NAN'}
1524,Ahmed Ait Moulay,23.0,摩洛哥,1988冬奥会,{'NAN'}
1528,Brahim Ait Sibrahim,17.0,摩洛哥,1984冬奥会,{'NAN'}
1528,Brahim Ait Sibrahim,25.0,摩洛哥,1992冬奥会,{'NAN'}
1542,Hiroyasu Aizawa,18.0,日本,1980冬奥会,{'NAN'}
1580,Akiko Akasaka,20.0,日本,1972冬奥会,{'NAN'}
1581,Yuichi Akasaka,24.0,日本,1992冬奥会,{'铜牌'}
1581,Yuichi Akasaka,26.0,日本,1994冬奥会,{'NAN'}
1586,Shikashi Akazawa,25.0,日本,1960冬奥会,{'NAN'}
1607,Anatoly Vasilyevich Akentyev,28.0,俄罗斯,1968冬奥会,{'NAN'}
1612,Ulf Erik kerblom,26.0,瑞典,1984冬奥会,{'NAN'}
1621,"Charles Arthur ""Charlie"" Akers",20.0,美国,1960冬奥会,{'NAN'}
1621,"Charles Arthur ""Charlie"" Akers",24.0,美国,1964冬奥会,{'NAN'}
1625,Jan-Erik kerstrm,28.0,瑞典,1964冬奥会,{'NAN'}
1626,Rolf Evert kerstrm,27.0,瑞典,1988冬奥会,{'NAN'}
1627,"Henry ""Hank"" Akervall",26.0,加拿大,1964冬奥会,{'NAN'}
1629,Lars Arne kesson,20.0,瑞典,1984冬奥会,{'NAN'}
1639,Albina Khamitovna Akhatova,21.0,俄罗斯,1998冬奥会,"{'银牌', 'NAN'}"
1639,Albina Khamitovna Akhatova,25.0,俄罗斯,2002冬奥会,"{'NAN', '铜牌'}"
1639,Albina Khamitovna Akhatova,29.0,俄罗斯,2006冬奥会,"{'金牌', 'NAN', '铜牌'}"
1648,Yerdos Zhaksimbinovich Akhmadiyev,28.0,哈萨克斯坦,2014冬奥会,{'NAN'}
1656,Sofia Akhmeteli,16.0,乔治亚州,1998冬奥会,{'NAN'}
1656,Sofia Akhmeteli,20.0,乔治亚州,2002冬奥会,{'NAN'}
1671,Takeshi Akiba,23.0,日本,1968冬奥会,{'NAN'}
1671,Takeshi Akiba,27.0,日本,1972冬奥会,{'NAN'}
1671,Takeshi Akiba,31.0,日本,1976冬奥会,{'NAN'}
1675,Masahiro Akimoto,23.0,日本,1980冬奥会,{'NAN'}
1743,Yelizaveta Vyacheslavovna Aksyonova,18.0,哈萨克斯坦,2014冬奥会,{'NAN'}
2213,Konstantin Georgiyevich Aladashvili,24.0,俄罗斯,2002冬奥会,{'NAN'}
2218,Arif Alaftargil,24.0,土耳其,1998冬奥会,{'NAN'}
2219,Atakan Alaftargil,25.0,土耳其,2002冬奥会,{'NAN'}
2254,Burhan Alanku,17.0,土耳其,1968冬奥会,{'NAN'}
2267,ric Alard,30.0,法国,1998冬奥会,{'NAN'}
2274,Mika Antero Alatalo,22.0,芬兰,1994冬奥会,{'铜牌'}
2275,Toimi Johannes Alatalo,30.0,芬兰,1960冬奥会,"{'金牌', 'NAN'}"
2296,Marco Albarello,27.0,意大利,1988冬奥会,{'NAN'}
2296,Marco Albarello,31.0,意大利,1992冬奥会,"{'银牌', 'NAN'}"
2296,Marco Albarello,33.0,意大利,1994冬奥会,"{'金牌', 'NAN', '铜牌'}"
2296,Marco Albarello,37.0,意大利,1998冬奥会,"{'银牌', 'NAN'}"
2308,Tommy Albelin,33.0,瑞典,1998冬奥会,{'NAN'}
2328,Karsten Klaus Albert,29.0,德国,1998冬奥会,{'NAN'}
2328,Karsten Klaus Albert,33.0,德国,2002冬奥会,{'NAN'}
2329,Louis Albert,25.0,法国,1924冬奥会,{'NAN'}
2332,Martine Albert,32.0,加拿大,2006冬奥会,{'NAN'}
2337,Bruno Alberti,25.0,意大利,1960冬奥会,{'NAN'}
2337,Bruno Alberti,29.0,意大利,1964冬奥会,{'NAN'}
2344,Reno Luigi Alberton,19.0,意大利,1956冬奥会,{'NAN'}
2348,Johnny Albertsen,16.0,丹麦,1994冬奥会,{'NAN'}
2348,Johnny Albertsen,32.0,丹麦,2010冬奥会,{'NAN'}
2361,Alan Jacob Alborn,17.0,美国,1998冬奥会,{'NAN'}
2361,Alan Jacob Alborn,21.0,美国,2002冬奥会,{'NAN'}
2361,Alan Jacob Alborn,25.0,美国,2006冬奥会,{'NAN'}
2366,Daniel Albrecht,22.0,瑞士,2006冬奥会,{'NAN'}
2370,Grant Albrecht,21.0,加拿大,2002冬奥会,{'NAN'}
2370,Grant Albrecht,25.0,加拿大,2006冬奥会,{'NAN'}
2373,Kilian Albrecht,28.0,奥地利,2002冬奥会,{'NAN'}
2373,Kilian Albrecht,36.0,保加利亚,2010冬奥会,{'NAN'}
2378,Sylvia Albrecht (-Heckendorf),17.0,德国,1980冬奥会,"{'NAN', '铜牌'}"
2379,Brigitte Albrecht-Loretan,21.0,瑞士,1992冬奥会,{'NAN'}
2379,Brigitte Albrecht-Loretan,23.0,瑞士,1994冬奥会,{'NAN'}
2379,Brigitte Albrecht-Loretan,27.0,瑞士,1998冬奥会,{'NAN'}
2379,Brigitte Albrecht-Loretan,31.0,瑞士,2002冬奥会,"{'NAN', '铜牌'}"
2382,Margit Albrechtsson (sberg-),34.0,瑞典,1952冬奥会,{'NAN'}
2383,Janez Albreht,35.0,塞尔维亚,1976冬奥会,{'NAN'}
2386,"Tenley Emma Albright (-Gardiner, -Blakely)",16.0,美国,1952冬奥会,{'银牌'}
2386,"Tenley Emma Albright (-Gardiner, -Blakely)",20.0,美国,1956冬奥会,{'金牌'}
2409,Lindsay Alcock,24.0,加拿大,2002冬奥会,{'NAN'}
2409,Lindsay Alcock,28.0,加拿大,2006冬奥会,{'NAN'}
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",19.0,英国,2002冬奥会,{'NAN'}
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",23.0,英国,2006冬奥会,{'NAN'}
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",27.0,英国,2010冬奥会,{'NAN'}
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",31.0,英国,2014冬奥会,{'NAN'}
2416,Zhanbota Yerkinovna Aldabergenova,18.0,哈萨克斯坦,2014冬奥会,{'NAN'}
2431,Henri Eugne Aldebert,43.0,法国,1924冬奥会,{'NAN'}
2436,Guillermo Alder,20.0,阿根廷,1992冬奥会,{'NAN'}
2437,Ins Alder,21.0,阿根廷,1992冬奥会,{'NAN'}
2444,Manole Aldescu,22.0,罗马尼亚,1952冬奥会,{'NAN'}
2444,Manole Aldescu,26.0,罗马尼亚,1956冬奥会,{'NAN'}
2445,"Robert Mathew ""Bob"" Aldighieri",26.0,美国,1992冬奥会,{'NAN'}
2473,Boris Viktorovich Aleksandrov,20.0,俄罗斯,1976冬奥会,{'金牌'}
2484,Sergey Yevgenyevich Aleksandrov,27.0,哈萨克斯坦,2006冬奥会,{'NAN'}
2486,Veniamin Veniaminovich Aleksandrov,22.0,俄罗斯,1960冬奥会,{'铜牌'}
2486,Veniamin Veniaminovich Aleksandrov,26.0,俄罗斯,1964冬奥会,{'金牌'}
2486,Veniamin Veniaminovich Aleksandrov,30.0,俄罗斯,1968冬奥会,{'金牌'}
2487,Vladimir Petrovich Aleksandrov,26.0,俄罗斯,1984冬奥会,"{'NAN', '铜牌'}"
2491,Nadezhda Valeryevna Aleksandrova,20.0,俄罗斯,2006冬奥会,{'NAN'}
2505,Aleksandr Yuryevich Alekseyev,30.0,白俄罗斯,1998冬奥会,{'NAN'}
2507,Dmitry Sergeyevich Alekseyev,22.0,俄罗斯,1988冬奥会,{'NAN'}
2514,Lyubov Alekseyeva,17.0,哈萨克斯坦,2002冬奥会,{'NAN'}
2518,Boycho Aleksiev,24.0,保加利亚,1988冬奥会,{'NAN'}
2521,Nadezhda Aleksieva,22.0,保加利亚,1992冬奥会,{'NAN'}
2521,Nadezhda Aleksieva,24.0,保加利亚,1994冬奥会,{'NAN'}
2551,Arnaud Alessandria,20.0,摩纳哥,2014冬奥会,{'NAN'}
2577,Morgan Alexander,23.0,加拿大,2006冬奥会,{'NAN'}
2578,"Nicholas ""Nick"" Alexander",21.0,美国,2010冬奥会,{'NAN'}
2578,"Nicholas ""Nick"" Alexander",25.0,美国,2014冬奥会,{'NAN'}
2595,Panagiotis Alexandris,22.0,希腊,1972冬奥会,{'NAN'}
2596,Yorgo Alexandrou,29.0,亚美尼亚,2002冬奥会,{'NAN'}
2639,Hans Daniel Alfredsson,25.0,瑞典,1998冬奥会,{'NAN'}
2639,Hans Daniel Alfredsson,29.0,瑞典,2002冬奥会,{'NAN'}
2639,Hans Daniel Alfredsson,33.0,瑞典,2006冬奥会,{'金牌'}
2639,Hans Daniel Alfredsson,37.0,瑞典,2010冬奥会,{'NAN'}
2639,Hans Daniel Alfredsson,41.0,瑞典,2014冬奥会,{'银牌'}
2649,Ulf Hkan Gran Algotsson,27.0,瑞典,1994冬奥会,{'金牌'}
2737,Vladimir Aleksandrovich Alikin,22.0,俄罗斯,1980冬奥会,"{'金牌', '银牌', 'NAN'}"
2748,Jan Alin,21.0,捷克共和国,1994冬奥会,{'NAN'}
2767,Olesya Murtazaliyevna Aliyeva,20.0,俄罗斯,1998冬奥会,{'NAN'}
2767,Olesya Murtazaliyevna Aliyeva,28.0,俄罗斯,2006冬奥会,{'NAN'}
2773,"Michael Charles ""Mike"" Aljoe",23.0,美国,1988冬奥会,{'NAN'}
2786,Yuliya Yakunovna Allagulova,19.0,俄罗斯,1992冬奥会,{'铜牌'}
2792,mile Allais,23.0,法国,1936冬奥会,{'铜牌'}
2793,Kathleen Allais,26.0,法国,2002冬奥会,{'NAN'}
2799,Olivier Allamand,22.0,法国,1992冬奥会,{'银牌'}
2799,Olivier Allamand,24.0,法国,1994冬奥会,{'NAN'}
2805,Mitchell Allan,18.0,澳大利亚,2006冬奥会,{'NAN'}
2810,Pierre Allard,25.0,法国,1998冬奥会,{'NAN'}
2811,Roland Allard,24.0,法国,1936冬奥会,{'NAN'}
2812,"David ""Dave"" Allardice",22.0,英国,1998冬奥会,{'NAN'}
2812,"David ""Dave"" Allardice",26.0,英国,2002冬奥会,{'NAN'}
2835,"Christopher ""Chris"" Allen (-Ellis)",24.0,澳大利亚,1984冬奥会,{'NAN'}
2851,Kirk Blaine Allen,20.0,加拿大,1992冬奥会,{'NAN'}
2856,Lisa-Marie Allen,19.0,美国,1980冬奥会,{'NAN'}
2866,Roger Allen,19.0,加拿大,1972冬奥会,{'NAN'}
2867,Roseanne Allen,17.0,加拿大,1972冬奥会,{'NAN'}
2869,"Scott Ethan ""Scotty"" Allen",14.0,美国,1964冬奥会,{'铜牌'}
2873,Wendy Irene Allen,23.0,美国,1968冬奥会,{'NAN'}
2876,"Theodor ""Theo"" Allenbach",23.0,瑞士,1948冬奥会,{'NAN'}
2884,Patricia Kim Alletson,17.0,加拿大,1976冬奥会,{'NAN'}
2887,"Steven James ""Steve"" Alley",22.0,美国,1976冬奥会,{'NAN'}
